Rank,Club,Country,Elo,Slug,_fetched_at
632,Wisla,POL,1503.0,Wisla,2026-08-30T08:43:37.451971+00:00
633,Lubin,POL,1502.0,Lubin,2026-08-30T08:43:37.451971+00:00
634,Häcken,SWE,1502.0,Haecken,2026-08-30T08:43:37.451971+00:00
635,Beijing Guoan,CHN,1502.0,beijing-guoan,2026-08-30T08:43:37.451971+00:00
636,FC La Unión Atlét,ESP,1502.0,fc-la-union-atletico,2026-08-30T08:43:37.451971+00:00
637,Apollon Lemesos,CYP,1502.0,ApollonLemesos,2026-08-30T08:43:37.451971+00:00
638,Cesena,ITA,1502.0,cesena-fc,2026-08-30T08:43:37.451971+00:00
639,Arezzo,ITA,1502.0,Arezzo,2026-08-30T08:43:37.451971+00:00
640,KS Cracovia,POL,1501.0,ks-cracovia,2026-08-30T08:43:37.451971+00:00
641,Maranhao,BRA,1501.0,lsapi-7624,2026-08-30T08:43:37.451971+00:00
642,Antequera,ESP,1501.0,antequera-cf,2026-08-30T08:43:37.451971+00:00
643,Braunschweig,GER,1500.0,Braunschweig,2026-08-30T08:43:37.451971+00:00
644,All Boys,ARG,1500.0,all-boys,2026-08-30T08:43:37.451971+00:00
645,Aarau,SUI,1500.0,Aarau,2026-08-30T08:43:37.451971+00:00
646,Shimizu S-Pulse,JPN,1500.0,shimizu-s-pulse,2026-08-30T08:43:37.451971+00:00
